Creator,Ponzi_Addresses_Count,Ponzi_Addresses,Non_Ponzi_Addresses_Count,Non_Ponzi_Addresses
0xab914e7b04f1b6ed397dbce175eec827563c91bd,6,"0xa0f9fb2170dc2d181ef8aaf3571dc441813e0154, 0x0389a06b028526b05966c287370bebefa0082176, 0xf1aa63ad7a897ca02cab6021513ee0a86820153e, 0x49c3019b7a83b3c77a823255533975969027308d, 0x8ea6c8077d6316b46e449aec8fb60a606cf50eea, 0x83651a62b632c261442f396ad7202fe2a4995e3a",5,"0xc90233644d2eeb37a7ec641072c85ad272ef2feb, 0x50cb0011a52a8415deae370301d78369e6089fa2, 0x0e08f0daee46e772eee7999c5b6d7d0401d8d72b, 0x6a92b2804eaef97f222d003c94f683333e330693, 0x845f74aac51148bdd4ef6aed29822940c025a3a2"
0x2179987247aba70dc8a5bb0feafd4ef4b8f83797,0,,5,"0xe120100349a0b1bf826d2407e519d75c2fe8f859, 0x748defc02aa6221ae4db129bbe7e6a97537a6f45, 0xcccd5b66bf6990c7210fd76781469b19bcff9bae, 0xbf280a05a1aa9360fee28b61ba0b01abbf16ba49, 0xac504e2a9c870a48de521ed513b251b1f7116dd9"
0x82e1c8c4c38f5c0767f7c426e235f194010b71e9,0,,2,"0xbd37672116c2f4c14ba5a23921bdc57860e64aa0, 0x407113f6b520f3ac72386cfb0eee9ed3930512c0"
0x551da69d04f10de86f3c12f24bd92abb1ece4503,0,,3,"0x5bc7e5694ee5d6ea32a0da36efb56a177190a53a, 0xae506bb28ed79b29c6968ab527d1efdc5f399331, 0xc5e8aaec3bd3ebe78b5bcd0f1560f0a61cc945cf"
0xe6451fb8f62c69be9feada75fa3246bc98b38b2b,2,"0x9758da9b4d001ed2d0df46d25069edf53750767a, 0xfeeb8a968f0d7fd58e29fbfc525051f50ee2fedc",0,
0x3cc0356217a8e03b94cf6a975683fc32db2080c4,0,,4,"0x6f2e48f1f29d1eefc5e512009874e8cf1b1085c7, 0xbe8eb2544083691c76f113ed36bc45e3ffe969f5, 0x5d9b8fa00c16bcafae47deed872e919c8f6535bf, 0xaf32279149101fa3f6e3d1768f051593049dcd9f"
0xd25658414d41ab0da3f7e28f592863c5b4218101,1,0x9f1d916a456b96146e9f0dbbd0e107a1f389a061,2,"0x89d64bc7e46bdc49a89652ae9bb167418cbad62e, 0xb97768a8e31789dbece1403694e53c2142c3d706"
0x627fbcc6d0590d2186c44df4cc178f2793210a10,1,0x294308484f47ff5a833a284ac6949eb02728fbe4,2,"0xc1ce17303ef35c128b499ed091f39008b3a57389, 0xad87e48d553c2308dccab428537f6d0809593ba4"
0xc168a39a8068c42a650e944ebfab87bfa4b1434b,0,,2,"0xfd2dfa00ba5941958eaec567e59b42c2aa9dbf70, 0xf7d02347d055bd3a1fd66a7f187c4453fb6882aa"
0x3f2da093bb16eb064f8bfa9e30b929d15f8e1c4c,0,,14,"0xa643a6cfc95fb163dc8e94af0d9eedb8a6e89892, 0xeb17adcc8cf24d2d6813f50f647b613df01014a2, 0x90a8ed56e469e16df02151c1c3273de3fc917f6f, 0x8182d0eef9f71bf38875e22f2c353195d80506d2, 0xe0cfa488bb6442d39a4abf844d5876f209f03871, 0x1d9e61248f88dc60889bb269fcf2244827f3a682, 0xecae6888e3ea6a2a8dbf95500a1f74dd27c3b54e, 0xe34f4bd4b05e0a40295daf48c2562c377338ea05, 0x53325828eddecdc4378acb9d2d116ba6b38bd35a, 0xc98c7b13b2577be006b4bf04418a115d43b1489e, 0x79499d0f0b3a2a29a93583936c5e46a00e836097, 0x59b8f851e1a433a7ece7c8102aadb8ed2c19727f, 0x3e368966c54c606ef545ccafd43af8be1def734f, 0x352661478f9599a6497beb724174836cb5e62e3f"
0x350a105f1e2408d38ecbe219ec2df828978bca42,0,,4,"0xbe69b8093ca446c97aa2c5ea4746d793fb86c89d, 0xbf04a03a4ad0455b450888099eb43a1780feb10d, 0xd8f1da4a236c4d6f310c02dedc049b69277b7c80, 0x319af0f8552e2caceb6a8b2541ef00239a6ae1cc"
0xff82d5012fd3b25c700b733fe1c244d65d5077db,0,,3,"0xb071e5c53094cabb971e98eba3b1a86be555c943, 0x3e15c9eac04cbe4a191c6696982a29b62126039e, 0xdce94f49e659bd1335213a6e1c54d6cd171f97dd"
0x006ee0953c7bb75ca6de27f58b5512390b1c4d6a,0,,13,"0x6140d98c1bf9206488fc3428e2dc5496b0a23d84, 0xdb9b3f9c12e710517ac572378c6199bc3624b1ed, 0x213d2b0498d7eef3151aa9af2e5c4eb8674ecce5, 0x2c2e3baa2191cf325a28a01ff42340f2ae677572, 0x31e13882c45c1023d9b16c3794c1a780bb6cb88d, 0xb39a89322379ed7d91dc2e8ae1b30989eaf91d41, 0x231c7510f24d1c8b9578558bcb7fa6c659b4ca98, 0x155999f23ba40f22b24863d9c21cd8b9ab192cc9, 0xdd88c4d189585b650a3fe3d0e39147fcca59ec32, 0x7fd022cc8b6e019260627fafa1d9c3afece18cef, 0x6dfaa563d04a77aff4c4ad2b17cf4c64d2983dc8, 0x05240da139d30034eaae15737610bfbe68b97910, 0x18a672e11d637fffadccc99b152f4895da069601"
0xe022cd6bf97b1d4319de299d0a654162040112c2,0,,2,"0x1f0b9db5bb0f2a60f8c8824cec738c15805dbdec, 0x45e42d659d9f9466cd5df622506033145a9b89bc"
0xe25e3a1947405a1f82dd8e3048a9ca471dc782e1,0,,3,"0x8d7b6fb1523f04e644085e14d5e49b1c6278c92e, 0x786ef2e92c9946d9ec75eb1c9fb89eb02b4d6224, 0x2add087d02fe18f1855f99b64d44354f2ebdfa98"
0x7aa09142176ef9a18ab242aa9c51991d705e05e0,0,,2,"0xfa7b9770ca4cb04296cac84f37736d4041251cdf, 0x629469c8db3a4d7bcc3a823effcf8900119ba7e7"
0xb5606469f317018d21f504b6e1518e54b23fa761,0,,2,"0xa00fa22499478cc37beb45021a1f1c9f826f72e1, 0xe6057e88d3effbe3831ee67d18f206692e9563dc"
0xf3e7879ad759ac7f30a356ae762b2063169fe81a,0,,2,"0xb61fb596b0cc9fa829d678eb0b8a0e058c3f1b91, 0x6cafdc06177f6f4b4b4638c987397b07cd948aed"
